관광지,전체내용
대포항,토욜 저녁 6시. 5명 예약후 방문했다.30만원짜리 세트를 주문했는데...회는 일단 별로다. 속초의 두명의 칼잽이중 한집이라해서 방문했건만 너무 장삿속만 보인다. 식사후 다른집 가격을 보니 대동소이...관광지의 티가 팍팍난다.오히려 서울의 좀 한다는 횟집이 더 회가 좋고 나을듯. 동명항 초장집 스탈이 더 나을듯.대포항에 있는 횟집은 재방문의사 없음. : 부부활어회센터에 관하여
대포항,저녁에 대포항의 팔팔회센타에서  대게찜 먹었는데 아주 맛있었다. 식사 후 대포항을 산책했는데 야경이 멋지다.다음에 꼭 대포항 옆에 있는 라마다 속초 호텔에 묵어야겠다. 라마다 속초 호텔 위치가 너무 마음에 든다. 숙박료도 별로 비싸지 않다. 제일 싼 방은 9만원 정도이다. : Beautiful at night
대포항,"1월1일 해돋이보러 방문하였다.전날 팬션잡았는데 옥상에서 바다가 보여 편히 예쁘게 봄.의외로 검색하면 먹을께 다양하다.물곰탕-게,회세트-순대국-튀김,오징어순대-새우강정근처에 나름 구색많은 마트가 있어 편리했다.*수협바다마트에서 건어물사려고 했는데 그냥 길에 있는 건어물들이 더 저렴하게 깍아준다. 수협바다마트는 비싸다 : 해돋이보러 방문☆"
설악산 국립공원,북쪽 남쪽 동쪽 어느 곳에서 접근하더라도 너무 멋진 경관을 보여줍니다. 다만 동쪽에서 접근할 경우 신흥사 입장료를 내야해서 비용이 좀 많이 드는 점이 있지만요. 그래도 올때마다 절경을 보여주는 멋진곳입니다. : 항상 멋진곳
설악산 국립공원,코로나 로 인해 아예 사람이 없어 썰렁하기만 하다 시내는 따스한 느낌을 받았는데 설악산은 확실이 기온차가 컸다 두꺼운 파카를 가지고 가기를 잘했다 설악산 경내에 못보던 커피집이 많이 생겼다 너무 횡해서 주변의 나무들을 너무 많이 밀어내고 그곳에 건물을 지은것이 넘 황당하다   이 삼 주만 지나면 주변에 온갖 꽃들이 넘실거릴것 것 같다  그때 다시 보기로 한다 : 코로나
설악산 국립공원,"평일 설악산 한적한 코스, 토왕성폭포 전망대 가는 길~ 비룡폭포에서 900개 계단을 올라가야 장관을 맛볼 수 있다. 올라가는데 한시간 걸렸지만 꽤 오르막 코스~ 계단 많음. 토왕성 폭포에 빙벽 등반하는 사람이 많네~ : 평일 설악산 한적한 코스~"
설악산 국립공원,지금은 강화된 방역 때문에 안할지도 모르겠네요. 보통은 아침 일찍 가서 1시간 정도 기다려야되는 시설인데 그만큼 인기가 있습니다.플랫폼 건물에서 수제맥주도 파는데 맛이 일품입니다. 운전해서 온 경우엔 마실수 없지만 걸어서 온 경우 강추합니다. (바로 옆에 숙소가 두어곳 있어서 그쪽에서 걸어가면 10분 언더 거리예요)산에 도착해서는 음주는 불가능하고 위험할수 있으니까 다녀와서 돌아가는길에 한 잔.. 일품입니다.설악산 자체는 워낙에 명산이라 계절별로 가볼만 하지요. 코로나19 풀리면 케이블카 타러 가고싶네요 : 케이블카 타는곳에 수제맥주 맛있어요
설악산 국립공원,설악산은 4계절 어느때 방문을 하여도 계절에 따라 그절경을 감상할 수있는 우리나라 대표 산이다뽀족뽀족하고 깍아지는듯한 봉우리 기암괴석이 최고의 장관을 연출한다속초의 바다와도 아주 가까워 우리나라 최고의 관광지이다 : 우라나라 대표경관 설악산
설악산 국립공원,공기좋고날씨좋고 케이블카만 타고 왔는데좋았습니다 아이도 좋아했구요가을에 다시 오기로 했어요가을에는 산행도 할까합니다 : 설악산은 항상 좋다
설악산 국립공원,입장료와 주차비를 별도로 받아서 아쉽네요. 한가지만 받아도 될듯요. 강풍으로 케이블카는 못탄대신 흔들바위까지 산행했습니다. 왕복 1시간30분~2시간이면 충분합니다. : 산은 좋지만...
설악산 국립공원,설악산은 너무 멋있습니다. 케이블카 타면 금방인게 더 좋은 것 같습니다. 물론 내려서 정상까지 15분정도 걸어야하지만 .. 정말 멋있는 산입니다. 다만 정상은 돌산이 가파르고 가장자리는 아찔해서 너무 어린 유아는 안데리고 가시는게 좋을 것 같습니다. : 멋진 설악산
설악산 국립공원,한국을 대표하는 큰 산이다. 공원자체가 무척 크고 등산과 다양한 하이킹을 즐기기에도 좋은 코스들이 많다. 정상과 근처에는 산장들이 있어서 1박이상을 할 수도 있다. 추운 겨울에는 등산하기 위험할 수 있는 곳. 사고도 많다. : 한국을 대표하는 명산
설악산 국립공원,얹나 봐도 멋진 명산임. 등산을 해도 그냥 케이블카를 타도 둘러보기 좋고 구경하기 좋은 곳.가을철에 단풍구경이나 나들이철에 붐비는 것이 있어 단체 버스를 타고 오는 것고 좋은 옵션으로 보임 : 언제가도 멋짐
영금정,"도심지에 있어서 접근성이 좋은데 풍경도 멋집니다.날씨가 좋으면 사진도 잘 나옵니다.시원한 풍경과 멋진 사진을 남기고 싶으면 방문하세요!다만, 주차장에 여유는 부족합니다. : 멋진 풍경, 사진 잘나옴"
영금정,바다구경에 이만한 장소가 있을까 할정도로 탁트인 바다를 보는 것 만으로 스트레스가 풀리는 느낌.엘리베이터까지 있어서 소아나 몸이 불편한 분들은 이것을 이용하고 건강한 분들은 옆의 계단이용하면 쉽게 접근 가능함 : 짙고 푸르른 동해바다와 뒤로는 설악산의 웅장한 모습
영금정,바다쪽으로 뻗어나가있는곳에 정자가 있네요.정자에서 바다 구경하는것도 좋았고정자를 배경으로 사진찍어도 이쁘게 잘 나오네요. : 바다 구경하기 좋아요.
영금정,"속초 앞바다가 한눈에 보이는, 일출 명소입니다. 일출 아니어도 바다 보기에 좋아요. 근처 오시면 꼭 들려보세요. 날씨 좋으면 더 좋습니다! : 속초 앞바다 뷰가 좋아요"
영금정,"등대전망대 입구에서 부터 걸어서 영금정까지 걸어가면서 바다뷰를 쭉 보았는데, 꼭 가보세요. 등대전망대 입구 주차장 안쪽으로 들어가셔서 바다안의 암석뷰를 꼭 확인해보시구요, 바다물 높지 않으면 암석위로 올라가서 바다 보시는 분들도 계시더라구요. 바람이 강해서 저는 그냥 멀리서만 봤지만 , 영금정은 길이 잘되어 있고,계단 오르내리기 불편하신 분들을 위해 엘레베이터 설치도 되어 있어서 깜짝놀랬어요 ^^ : 영금정에서 보는 바다뷰"
영금정,해돋이를 위해 영금정 팔각정에 다들 올라가지만 (팔각정이 2개 있음) 방파제에선 널널하게 볼 수 있음. 해돋이가 제대로 보여서 넘 좋았음. 작은 항구마을도 참 아름다고 건너다 보이는 설악산 울산바위도 넘 아름다웠음. : 해돋이 명소
영금정,속초 바닷가에 1박 2일 갔는데 영금정이라는 정자 같은 곳인데 높은곳에 위치해있어서 걸어서 올라가야한다.내려다보이는 바닷가 모습이 멋졌다 : 겨울에 방문
영금정,주차는 그 밑에 주차장에 하시고 올라가시면 됩니다. 해질녘에 갔는데 경치가 매우 좋습니다.시간도 얼마 안걸리니 한번 가보시는걸 추천합니다. : 소소하게 좋습니다.
영금정,바다가 시원하게 보이는 곳으로 멋진 바다를 보고 싶으면 꼭 가세요. 그리고 옆에있는 속초등대는 속초 8경중 1경으로 불릴정도로 뷰가 멋집니다. 영금정과 다른 느낌의 전망을 볼수 있습니다. 관광객들도 않이 오네요.그리보 근처 게집이 많네요.. : 서초8경중 1경근처 볼거리
영금정,소박하고 사람이 많았어요 ㅎㅎㅎㅎ주말이라 그랬겠죠? 앞에는 주차장 있지만 유료였네요 ㅎㅎㅎ : 소박함
속초 등대전망대,바다바람이 다소 춥지만살살 올라가서 동해바다를 바라보면마음이 정화가 되는 느낌이에요해가 뜰때 햇빛이 바다를 반짝반짝 빛나게해서너무 아름답고 사진도 잘 나옵니다 : 겨울바다 일출을 볼 수 있는 곳
속초 등대전망대,올라가기 전에 계단이 너무 많아서 가지말까 망설여졌어요.막상 올라가보니 시원하게 뚫려있어 경치가 정말 좋네요.좋은 경험이었습니다. : 올라가긴 힘들지만 보람은 있네요
속초 등대전망대,속초 앞바다가 한 눈에 보이는 전망대입니다. 그런데 꽤 가파르게 올라가야해요. 생각보다 힘들도 위험할 수 있습니다. 고소공포증 있으신 분들은 올라가는거 조심하세요. : 속초 등대 전망대
속초 등대전망대,"부분부분 계단에 가파르고 좁아서 좀 힘들었구요. 나름 체력을 요구하는... 물론 뷰는 좋았지만, 다리 스트레칭하고 오르시고 전망대 올라가서 다시 스트레칭하고 내려오세요. 여행첫날 첫장소로 갔다가 여행내내 알베겨서 힘들었네요. 여긴 마지막에 가시는 것도 좋을 것 같네요. 등대전망대 입구 주차장 안쪽 바다&암석뷰& 멀리보이는 영등정이 아름답습니다. 주차장 안쪽으로 들어오셔서 바다뷰를 꼭 확인하시길 ^^ : 다리 스트레칭하고 올라가세요"
속초 등대전망대,이사 간 이후로 오랜만에 간 속초!! 많이 변하고 너무나도 예뻐졌더라고요!특히 영금정에 위치한 속초 등대 전망대!!리모델링을 다시해서 너무나도 편리하고 좋았졌더라고요.올라가는 길도 산책로처럼 예쁘게 해 놓았고 등대 위도 전망대 같이 잘 꾸며 놓았어요. 다리가 불편하신 분들은 조금은 어려우실 수 있겠지만 정말로 후회하지 않으실 거에요.강추!!!! 바다가 내 눈 앞에!!! : 너무 예뻐졌어요!!
속초 등대전망대,참고로 엘레베이터 없으니 다리가 안좋으신 분에게 나쁨하지만 뒷쪽으로 계단대신 비스듬히 경사져서 오르내릴수 있는 길 있음.위에서 보는 전망은 괜찮음 : 전망대
속초 등대전망대,계단으로 올라가야 하지만 생각보다 힘들지 않습니다.  전망대에 오르면 속초 시내가 한눈에 들어 옵니다.  속초가 생각보다 크지 않아서 놀랐습니다. : 전망 좋은곳
속초 등대전망대,꽤 가파른 계단을 올라가면 탁트인 바다 전경을 볼 수 있는 전망대에 도착전망대에서 바라보는 풍경이 아름다움 : 전망 멋진 곳
속초 등대전망대,앞에 있는 등대 전망대에 올라가 보세요끝없는 망망대해와 세찬 바람 푸른 하늘을 볼수있어요. 가파른 계단이라 조금 힘들긴해요 : 동명항에 가신다면
속초 등대전망대,밤에 가면 진짜로 좋은 풍경을 볼 수 있습니다. 추천합니다 밤에 보러 한번 가보세요 잊지 못할 것입니다. : 밤에 가면 진짜로 좋은 풍경을 볼 수 있습니다.
속초시립박물관,"다양한 볼거리가 있는 박물관 : 박물관과 문화촌, 발해역사관으로 구성된 시립박물관. 국립박물관이 아니라 입장료는 있지만 부담스러운 금액은 아니다. 박물관은 속초 지역의 생활상을 엿볼 수 있는 전시물들이 주를 이루고, 문화촌은 속초에 정착한 실향민들의 고향인 북한의 가옥들을 재현해 놓았다. 우리가 익히 알고 있는 한옥들과는 조금 다른 구조의 한옥들이라 보는 재미가 있다. 마지막으로 우리나라 역사상 가장 넓은 영토를 가졌던 발해의 유물들을 모은 발해역사관도 다른 곳에서는 보기 힘든 전시물들이라 한번 방문할 만하다."
속초시립박물관,속초박물관은.. : 속초박물관은 미시령 고개 초입에 위치하고 있으며 속초에서 오전 등 시간이 좀 남으실 때 방문 하시면 좋습니다.야외에 과거 실향민 마을을 재현해 놓은 세트도 있어 사진 찍기 좋습니다.
속초시립박물관,생각보다 너무 좋아요 : 아무런 생각없이 계획없이 떠났던 속초여행돌아가려던 찰나에 우연히 발견하여 방문했습니다.생각보다 멋진 전망은 덤입니다!
속초시립박물관,"사실 할 게 없어서 갔었는데.. : 발해역사관도 있고 드라마 대조영 의상 입고 사진도 찍을 수 있고, 실향민문화촌 둘러보면서 힘들었던 과거를 돌아보기도 하고.. 방문하는 내내 알찬 시간이었네요 ㅎ"
속초시립박물관,아이들 숙제용으로 방문 : 아이들 방학 숙제용으로 방문했어요 발해역사관과 같이 이용 가능하고요 간단히 방문하기 좋은 박물관입니다.
속초시립박물관,발해를 꿈꾸며 : 속초시립박물관은 생각보다 멋진 전망을 갖고 있다울산바위와 설악산 전망이 한눈에 보이는 곳에위치해 있다입구에 들어서면 발해와 관련된 기념관을 먼저 가게 되는데 건국과 폐망에 대한 이야기 그리고 얼마나 광활한 영토를 갖고 있었는가 그리고 또 어떤 생활 방식을 갖고 있었는가 알려주기도 했다이후 실향민 기념관을 지나게 되는데 한국전 이후 실향민이 밀집해 있던 모습과 생활상을 보여주게 된다다양한 속초의 과거와 현재를 알려준 기념관이 었으며옛 추억을 공유할 수 있는 공간이 었던거 같다일단 너무 더워서 힘들긴 했으나 관심있게 보다보니 더위도 어느정도 해소 할 수 있는 공간이 아니었나 싶다
속초시립박물관,"박물관이 있다고 해서 한번 들러봤어요 : 기대했던 것보다 좋았던게, 옛 실향민들의 생활이나 어떻게 속초에 정착하고 생활했는지에 대한 모습들이 잘 나타나있어서 좋았습니다. 지역발물관으로서의 특색이 잘 나타나있어서 방문해볼만한 가치가 있었다고 봅니다."
속초시립박물관,"박물관이자만 조금은 부족한 시설물 : 속초시에서 운영하는 박물관입니다. 안에는 실향민 문화촌도 있습니다. 박물관은 한 때 속초가 발해영토여서 발해 관련 전시물도 있습니다. 다만, 전시된 유물이 너무 적어서 아쉬웠습니다.실향민 문화촌도 예전 판자집등을 전시해서 옛 기억을 떠올리게 하지만, 밖에서만 볼 수 있어 아쉽더군요.조금씩 아쉬웠습니다."
속초시립박물관,속초의 속살을 잘 그려 놓은 곳 : 속초는 실향민들의 애환을 빼놓을 수 없다. 그것을 토대로 만든 박물관은 외지인들에게는 이색적이었다. 그래서 좋은 장소. 아이들의 산 학습장으로도 아주 좋다.
속초시립박물관,"생각보다 괜찮음 : 기대하지않았는데 생각보다 괜찮았음.속초의 역사, 실향민의 모습을 많이 알게하네요. 즐겁게 돌기에 규모도 적당합니다."
청초호,"엑스포 전망대에서 : 엑스포 전망대 올라가서 (입장료있지만 저렴) 청초호 뷰도 보고, 차도 마시고 하면 좋아요. 청초호~바다뷰~설악산뷰까지 한눈에 보이고 가볼만합니다. 일몰때 가서  야경보고 하면 좋을것 같더라구요. 대신 밤에는 좀 외진느낌이 있어서,,, 주변이 음식점이고 하긴 하지만 도로간격이 넓어 그런가 .. 좀 무섭더라구요.  밤늦게 여자 혼자서는 가지마세요. 일몰보고 내려오면 주변에 맛집 카페들은 많이 있습니다."
청초호,큰 호수였음 : 청초호수 주변에 볼만한 것들이 있고 또 엑스포 타워가 있어서 가게 됨. 그러나 겨울이어서인지는 모르지만 달리 특별한 점은 없고 좀 쓸쓸해 보임.
청초호,한번씩 떠나는 속초 : 남편과 연애때부터 한번씩 시간되고 바람쐬러 가고싶으면 이동했던 속초속초가면 구경도 하고 맛있는 음식도 먹을 수 있어서 좋아요
청초호,아름다운청초호 : 칠성조선소 카페가려고 들렀는데 너무아름답네요 카페에서앉아서 청초호를바라볼수있어서 좋았어요 사진찍기도좋고 바라만봐도 힐링되는듯해요
청초호,"물회 먹으러 방문했다가 왔던 곳 청초호 : 청초 수물회 식당에 물회 먹으러 왔다가 근처에 청초호가 있어서 잠간 산택하다 왔어요. 산책 코스가 잘 꾸며져 있어서 가족 단위로 방문하기 좋았던 것 같아요,"
청초호,아바이마을 들린후 야경감상하기 좋아요 : 근처에 이마트도 있어서 들리기 좋고 아바이마을 갯배 체험후 청초호수에서 야경감상하며 바닷내음을 맡을수 있고 근처에 유명한 생선구이나 물회도 즐길수 있어요
청초호,청초호 : 강원 속초시 동해안에 있는 호수 입니다. 근처에 이마트가 있어서 들렸다가 밤바다에 비친 설악대교 불빛을 보고 산책을 했던곳입니다.1999년 국제관광엑스포의 상징탑이 인상적인 조형물로 자리잡고 있고 둘레 5km를 산책코스로 꾸며저있고 보행자 도로가 잘 깔려있었습니다.  전망대에 올라서 동해바다를 볼수도 있다했으나 늦은시간이라 못올라가본것이 아쉬웠지만 충분히 야경이 멋있었습니다.
청초호,그냥그랬음 : 겨울에 갔을때 너무 추워서 그냥 보고 나왔습니다.10시쯤 갔었는데 근처에 속초 타워도 불이 꺼져있고 볼거는 없었어요
청초호,산책하기 좋아요. : 맑은 물을 보면서 산책하기에 좋습니다. 여유롭고 싱그러운 느낌이 들었습니다. 오리나 물고기도 볼 수 있습니다.
청초호,아름 다운 속초의 호수 : 청초호의 낯도 아름답지만 특히 밤 산책이 좋다. 청초호에서 바라보는 다리의 야경도 좋고 한겨울에 날아드는 철새 구경도 좋다.
영랑호,자전거 라이드 + 산책에 최고인 장소 : 산책 + 자전거 라이드에 최고이며...... 밤에도 자전거 라이드를 할수 있도록 불을 켜 주어서 자주 야간 라이드를 합니다. 대한민국 아니 이세상 전체에서 제일 멋진 자전거 라이드 장소이며 최고의 산책길입니다. 곳곳에서 보이는 울산바위와 호수 그리고 설악산의 자태는 가히 무적입니다. 봄에는 벚꽃 터널이 생기고 가을의 땡볓아래 에서도 절반이상이 그늘이라 지치지 않고 산책과 자전거 라이드가 가능합니다.여름엔 매우 아름다운 속초 카누 여자팀원의 카누 훈련도 보실 수 있습니다..... 빨간 small box 타시는 형님과 제가 속초에서 가장 자주 그리고 가장 많이 즐기는 장소입니다
영랑호,분위기 있어여 : 한적하고 분위기가 좋습니다.  일몰후에 갔는데 풍경이 마치 동양화를 옮겨놓은 것 같아요. 다만 호텔이 시야를 약간 가려서 아쉽네여.
영랑호,"포인트 뷰만 잠깐 보았는데도 기억에 많이 남네요 : 영랑호에서 설악산 뷰가 가장 잘 보이는 포인트에서 잠깐 10분정도 걸었는데 , 너무 아름다웠습니다. 다음에는 여기서 일몰을 보려구요. 저녁노을지는 호수와 설악산뷰가 엄청 멋질것 같네요. 도보여행하시는 분은 속초의료원 정류장에서 내리시면 되세요"
영랑호,숙소가 영랑호 바로 옆이어서 둘러봤는데 : 숙소가 영랑호 바로 옆이어서 둘러봤는데 호수가 정말 깨끗하고 이쁘지만 주변 상권은 많이 침체된 듯이 보임. 영랑호 옆에 파스쿠치 카페도 있음. 둘레길을 자전거로 돌아도 좋겠음.
영랑호,자전거 트래킹하기 좋아요 : 속초 인근에서는 가장 큰 저수지로 자전거를 타고 호수를 한 바퀴  돌다 보면. 카누장을 지나 몇몇 카페들도 있어 잠시 쉬며 담소하기 좋네요
영랑호,"산책하기 좋은 곳 : 오로지 자전거를 타고 싶어서 찾아간 곳인데 영랑호 리조트 근처에 있는 대여소를 뚜벅이 여행자가 찾아 가기가 쉽진 않았네요.자전거 빌려주는 곳과 최대한 가까운 버스 정류장에서 내리고자 검색에 검색을 거듭하고 버스까지 엄청 오래 기다려서 힘들게 찾아갔지만 버스 정류장과 자전거 빌려 주는 곳까지 가깝지 않았고,겨우 찾아서 타려고 하니까 빌릴 수 있는 시간이 끝나 버렸었네요.뚜벅이 여행자로서 버스를 타고 가실 거라면 넉넉하게 시간의 여유를 잡고 가시는게 좋을 듯해요.학같이 생긴 새들도 구경할 수 있는 곳이었는데자전거가 있다면 날씨 상관없이 즐길 수 있는 곳일 것 같네요."
영랑호,"속초에서 산책하기 좋은곳 : 호수 둘레게 꾀 커서 한바퀴도는데 2시간은 걸립니다. 주변에 리조트가 많아, 리조트에 머무는 사람들에게는 아침 산책길로 좋을것 같습니다. 범바위에 올라가면, 옆 골프장과 영랑호의 풍경을 한눈에 볼수있습니다."
영랑호,무난한 호수 산책길 : 꽤 넓고 시원한 느낌이 드는 호수다. 산책으로 한 바퀴를 돌기에는 매우 넓어서 차로 한 반퀴 도는 것도 괜찮다. 바다와 가까워서 그런지 시원하다.
영랑호,"영랑호 : 오랜만에 속초 영랑호를 찾았다. 속초 영랑호는 동해와 접해있는 광활한 자연 석호로 7.8km 약 2시간 정도가 소요되는 아름다운 둘레길이 형성되어있습니다.자전거를 타기에도, 산책하기도 딱 좋았던 영랑호였습니다"
영랑호,한적하니 좋은 곳 : 자전거도 탈수있고 조용히 산책하니좋은 곳임밤엔 가로등이 별로 없어서 조~~금 무서울거같습니다
대금굴,"장마 중 행운을 만나다. : 대금굴은 동굴을 보호하기 위해서 인원제한이 있고, 그래서 예약을 하지 않으면 가 볼 수 없는 곳입니다.특색있는 베이컨이나 석순 종유석을 원형 그대로 만날 수 있다는  것이 제일 좋아요.비온 다음에 가니 무릎까지 물이 차오르고 오싹하기까지 한 시원함과 반짝거리는 석회동굴을 만날 수 있어서 좋았습니다."
대금굴,보존이 가장 잘되어있는 멋진 굴 : 굴은 몆억 ~몆천만년에 걸쳐져 엄청난 시간의 흐름속에 생성된다고 한다 그렇게 생성된 굴이 인간에 의해 발견되고 개방되어 회손되는데 대금굴은 회손을 막고 보존을 위하여 하루 약 600명 정도의 허가된 인원을 입장시켜 원형 그대로의 모습과 희귀한 생물의 모습도 볼수 있었다.  모노레일을 타고 올라가는 입구부터 절경이며 가이드의 설명이 있어 더욱 알차고 재미있다. 굴안에 폭포와 최대 깊이가 7미터이상인 용소도 있어 자연의 신비로움을 느낄수 있었다
대금굴,"몽환적인 5억년 전으로의 시간 여행 : 일단 1회 입장객이 50명 제한이라 예약 광클이 필요합니다. 예약을 통과하더라도 매표소까지 주차가 엄청 빡셉니다. 주차장이 좁은 것도 아닌데 제3주차장이 있을 만큼 넓지만 환선굴과 같이 있어서 죽도록 뛰어야 합니다. 30분 전에 오라는 안내가 괜히 있지 않습니다. 야구의 세이프를 하듯 매표소에 도착하면 모노레일 입장권 들고 약 300미터 오르막을 뛰어야 합니다. 2루 세이프에 성공하면, 약 50분 동안 화장실을 못가므로 미리 해소해야 합니다. 동굴 내 촬영이 금지라서 휴대폰은 주머니 속에 꾸물럭 거리고 있어야 합니다. 아놔...... 기념사진은 나와서 찍는 걸로 만족하시고~.동굴 내부는 정말이지...좁지만 나만 몰래 가는 듯한 환상적인 광경입니다. 해설사 or 가이드가 설명을 정말 찰지게 합니다. 팁이 있다면 가이드 가까이 붙으시면 설명도 잘 들리고, 두배로 잼나실 겁니다. 참고로 동굴 안은 춥습니다. 저는 땀쟁이라 좋았는데, 몇몇 분은 긴팔, 긴 바지 안입으셨으면 힘들었을 거라 했어요. 그리고, 동굴 내부는 습하니, 꼭 안미끄러운 신발을 추천합니다. 발바닥 닳아진 크록스나 슬리퍼는 비추합니다. 스뎅 구조물에서 피흘릴 수 있습니다."
대금굴,계곡속의 계곡 : 굴안에 8미터 짜리 폭포가 있을정도로 물이 많은 동굴입니다. 모노레일을 타고 들어가 입장이 편합니다. 하지만 인기가 많고 입장 인원이 적어 예약이 힘듭니다. 삼척 시티 투어버스를 타면 자동 예약이 되는 점이 꿀팁입니다.
대금굴,삼척 대금굴 : 인터넷 사전예약 필수 입니다. 모노레일 타고 들어가며 이어폰으로 설명도 듣고요. 동굴안에 폭포가 있어 시원하고 멋진곳 입니다  아이들과 함께 방문하기 좋습니다.
환선굴,신비로운 동굴 : 우리나라에 이런곳이 있었나 싶을 정도로 놀라운 동굴. 5억년전에 생긴 석회암 동굴이라는데 너무나 신비롭다. 아이들과 꼭 한번 방문하시길.
환선굴,"우리나라의 제일 큰 석회동굴 : 비가 많이 온 후에 가면 더 멋진 환선굴을 만날 수 있어요,.장마로 비가 많이 오는 때는 가끔 출입금지가 되기도 하지만, 비 온 다음날 오후에는 물이 적당히 빠져서 석회동굴 안이 반짝거리고 계곡도 풍성해져서 참 이쁘답니다."
환선굴,삼척의 유명한 동굴 : 3주전 대금굴을 다녀 왔는데 너무 기억에 남아서 다시 환선굴에 다녀왔다대금굴보다 길이도 더 길고 폭도 넓었고 하루 인원제한을 두었던 대금굴과는 달리 방문하는 사람은 다 입장 할수 있었다역시 석순 석주 종유석등 오래왼 시간의 흐름을 느낄 수있었지만 동시에 사람들에게 제한없이 개방되어 빛깔을 잃어버린 것도 볼수 있어 다양한 감정을 느낄수 있었다
환선굴,대단하네요 : 모노레일타고 올라가서 펼쳐지는 거대한 동굴이 인상적이었어요. 이 깊은 산속에 이렇게 크고 신기한 동굴이 있다니 한번 꼭 가볼만합니다
환선굴,"광활하고 멋진 석회 동굴 : 우리 나리에서 가장 큰 동굴이라더니 정말 크고 멋지다.관람 코스가 상당히 길므로 중간에 ""긴급통로"" 표시가 있고 사슬로 막혀 있는 길이 있는데 노약자라면 이 길로 넘어가는 게 나을 수도 있다."
환선굴,환선굴 : 굴안이 추울지 알고 옷많이 껴입고 갔는데 내부가 커서 열심히 걸어다녀야해서 오히려 더웠어요. 모노레일도 탈만했고 좋았어요
환선굴,엄청난 크기의 굴 : 환선굴은 그동안 경험해본 굴보다 큰규모를 가지고있어 놀라웠습니다. 또한 입구까지 모노레일을 탑승하는 재미도 느낄수있어 좋았습니다
환선굴,"동굴 내부에서만 7천보는 걸은 듯 : 우리나라에 이렇게 웅징한 규모의 자연동굴이 있을줄이야... 규모에 엄청 놀랐습니다. 그리고 동굴 내부의 자연스러운 조명으로 훨씬 더 경관이 돋보여서 너무 좋았습니다. 여러 형태의 종류석과 볼거리, 꼭 아이들에게 보여주세여!!"
환선굴,꼭 보러가세요 : 우리나라에서 가장 큰 동굴입니다. 주차하고나서 모노레일 표 산다음에 조금만 올라가면 모노레일 탈수 있습니다. 개인적으로 아이들이 너무 어리지 않으면 1시간 이상 안에서 둘러볼수 있습니다.
환선굴,가볼만한 곳.추천합니다 : 우리나라 석회암동굴중 가장 크다고하네요장가계 황룡동굴처럼 배를 타고 다닐만큼 크진않지만 그래도 국내동굴중에선 정말 크네요환선굴까지가는 모노레일이 있어서 편히 갈수있습니다그러나 동굴안에서는 좁은곳도 있고 가파른곳도 좀 있어서 노약자분들이 가시긴 좀 힘드실것같네요대금굴도 한달전 겨우 예약해서갔는데개인적으로 전 환선굴이 더 좋았습니다^^
죽서루,관동별곡에 나오는 곳 : 고등학교 때 정신없이 배우는 관동별곡에 나오는 곳. 관동팔경이라고 불리는데 그만치 멋지다. 일단 한적하게 앉아서 쉬기 좋은 구조의 정자이며 여기서 내려다 보는 강의 모습도 멋지다. 그리고 바람도 솔솔 잘들고 좋음. 삼척가면 꼭 가볼만한 곳
죽서루,그냥 가봤는데 시원한 바람불고 한적하고 좋아요 : 멍때리기 좋은 곳입니다 ㅋㅋㅋ사람이 거의 없고 간단하게 산책하기 좋아요이리저리 역사는 많던데 대충 읽어봐서 생각은 안남
죽서루,죽서루 : 삼척시에 위치한 죽서루한바퀴 돌아보는데 5분정도면 충분하다.죽서루에서 내려다보는 경치가 좋은편이고삼척시에서 방문하기 편한만큼 방문해볼만하다.
죽서루,고등학교 수학여행이후 처음으로 방문한 곳 : 고등학교 수학여행땐 다수의 누각중의 하나였는데나이가 들어서 개별방문해서 그런지의미있었습니다선사암각화와 용문바위추억여행 떠난것같아서남편과 저는 매우 좋았습니다
죽서루,죽서루 : 죽서루는 관동팔경중 하나이다보물 213호로 지정이 되었다바다가 아닌 강을 끼고 있는 관동팔경이라이채롭다강원도 삼척시 성내동 9-3
죽서루,지나는 길에 들릴만한 : 예전에는 풍광이 좋았을 것 같은데 지금은 아파트뷰에요~ 그래도 입장료가 없으니 지나는길에 들릴만하네요
죽서루,정말 정자 딱 하나 있어요. : 여기를 선택한 동생이 엄청 구박받았던 곳...정말 정자 딱 하나 있어요...여길 왜 왔냐며 마구 구박했는데...같은 장소 방문했던 친구 말로는 역사 설명을 해 주시는 시간이 따로 있다고 하더라구요. 이 장소와 건축물의 의미 하나 하나 짚어 주셨는데 너무 유익하고 재미있었다고 하더군요..무튼 전 설명을 못들었으므로 ㅠㅜ
죽서루,글쎄요 : 넓긴하나 죽서루 저거달랑하나 보러가기엔 좀 그러네요 정말 볼거없어요 5분이면 다봅니다관광명소라고하기엔 좀 부족하지않나 그런 생각이 드네요
